37.3994	0.997169	0.953088
39.6269	0.997152	0.955548
41.9871	0.997143	0.957888
44.4878	0.997139	0.960113
47.1375	0.997142	0.962228
49.9451	0.997149	0.964238
52.9198	0.997162	0.966147
56.0717	0.997179	0.967959
59.4113	0.997201	0.969678
62.9499	0.997227	0.97131
66.6992	0.997256	0.972858
70.6718	0.997289	0.974325
74.881	0.997324	0.975716
79.341	0.997363	0.977035
84.0665	0.997403	0.978284
89.0735	0.997446	0.979467
94.3788	0.997491	0.980588
100	0.997538	0.981649
